student_id,academic_year,programme_year,survey_responded,is_repeat_year,career_clarity,career_confidence,belonging_peers,belonging_programme,academic_self_efficacy,support_satisfaction
2102,1048-49,3,True,False,3.355,3.914,2.255,2.703,3.712,2.957
2107,1048-49,2,True,True,3.38,3.123,2.975,2.822,3.373,4.449
2109,1048-49,2,True,True,3.474,3.434,2.132,2.859,2.517,2.95
2112,1048-49,3,True,False,3.999,4.775,2.874,3.515,3.477,3.475
2114,1048-49,2,True,True,3.467,3.747,2.943,3.214,3.101,3.674
2115,1048-49,2,True,True,3.438,3.128,2.548,3.023,3.378,3.089
2121,1048-49,2,True,True,2.613,3.409,3.277,2.253,3.263,2.838
2122,1048-49,3,True,False,3.897,3.668,3.146,2.678,3.522,2.245
2125,1048-49,3,True,False,3.396,4.165,3.144,3.401,3.768,4.03
2127,1048-49,3,True,False,3.984,3.435,3.178,3.524,2.874,3.012
2129,1048-49,3,True,False,3.207,3.771,3.525,3.965,3.994,3.23
2131,1048-49,2,True,True,3.34,3.743,3.54,3.401,2.951,3.171
2132,1048-49,2,True,True,3.775,3.687,2.831,3.405,2.751,2.88
2133,1048-49,3,True,False,4.459,4.609,2.58,3.383,3.824,3.256
2134,1048-49,3,True,False,4.2,4.573,3.605,2.897,2.497,2.506
2139,1048-49,3,True,False,4.731,4.029,3.466,3.21,3.222,3.398
214,1048-49,3,True,False,4.187,3.207,2.837,2.95,3.272,3.342
2140,1048-49,3,True,False,3.495,4.508,3.281,2.507,3.248,3.409
2141,1048-49,3,False,False,,,,,,
2147,1048-49,3,True,False,4.136,4.149,3.451,3.822,3.635,2.624
2149,1048-49,3,True,False,3.785,4.148,2.428,2.694,3.5,3.094
2150,1048-49,3,False,False,,,,,,
2152,1048-49,3,False,False,,,,,,
2156,1048-49,3,True,False,3.982,3.831,3.315,3.559,2.828,3.692
2163,1048-49,3,True,False,3.635,3.855,3.516,3.258,3.704,2.92
2165,1048-49,2,True,True,3.354,3.377,2.407,3.075,4.142,2.926
2170,1048-49,3,True,False,3.749,3.675,2.162,3.301,3.342,2.941
2174,1048-49,3,True,False,4.271,4.468,3.393,3.456,3.221,3.215
2175,1048-49,3,True,False,4.284,4.006,3.366,3.101,3.366,5.0
218,1048-49,3,True,False,4.266,4.25,2.601,3.348,3.241,3.354
2181,1048-49,3,True,False,4.009,4.122,3.538,3.031,3.017,3.406
2186,1048-49,2,True,True,2.654,4.231,2.255,2.952,3.285,2.724
2187,1048-49,3,True,False,3.398,3.481,3.056,3.714,3.126,3.942
2189,1048-49,3,True,False,4.106,3.972,2.784,2.851,3.773,3.88
219,1048-49,3,True,False,4.023,3.952,3.241,3.238,3.423,3.908
2190,1048-49,3,False,False,,,,,,
2191,1048-49,3,False,False,,,,,,
2195,1048-49,3,True,False,3.753,4.79,3.726,2.524,2.536,3.304
2196,1048-49,2,False,True,,,,,,
22,1048-49,3,True,False,4.151,3.391,3.444,3.02,2.957,3.432
2202,1048-49,3,True,False,3.656,4.017,3.552,3.544,3.372,3.214
2205,1048-49,3,True,False,3.986,3.46,3.481,3.319,2.965,2.771
2206,1048-49,1,False,True,,,,,,
2209,1048-49,2,True,True,3.706,2.94,2.663,2.208,4.113,3.583
2211,1048-49,1,True,True,3.032,2.947,3.08,2.7,3.208,3.004
2214,1048-49,3,False,False,,,,,,
2215,1048-49,3,True,False,3.661,4.417,3.069,2.788,2.946,3.46
2218,1048-49,3,True,False,3.828,3.43,3.537,2.794,2.828,3.058
2219,1048-49,2,True,True,3.327,3.937,2.689,2.7,3.652,2.727
2220,1048-49,2,True,True,3.188,3.496,3.295,3.104,3.087,2.602
2222,1048-49,3,True,False,3.17,3.731,3.13,3.135,3.773,3.665
2225,1048-49,3,True,False,4.103,4.14,3.074,3.293,3.606,3.198
2227,1048-49,3,True,False,3.907,3.699,2.899,3.222,3.181,3.137
2230,1048-49,3,True,False,3.625,3.836,3.298,2.943,2.621,3.406
2231,1048-49,2,True,True,3.524,3.526,2.68,2.658,4.115,3.517
2233,1048-49,3,True,False,3.195,3.732,3.446,3.636,3.815,2.663
2235,1048-49,3,False,False,,,,,,
2237,1048-49,3,True,False,4.077,4.174,3.175,3.599,3.977,4.072
224,1048-49,3,True,False,4.167,3.463,3.28,3.368,4.142,3.383
2244,1048-49,3,True,False,3.447,4.134,2.772,2.827,3.791,3.994
2245,1048-49,3,True,False,3.578,3.743,2.343,2.444,4.245,3.152
2248,1048-49,3,True,False,3.856,3.637,3.37,3.307,2.847,3.105
2251,1048-49,3,True,False,3.413,4.28,3.494,3.277,3.235,3.774
2253,1048-49,3,True,False,3.968,3.089,2.271,2.381,3.147,3.449
2254,1048-49,3,True,False,4.37,3.943,2.521,3.221,3.141,2.856
2255,1048-49,3,False,False,,,,,,
2257,1048-49,3,False,False,,,,,,
2258,1048-49,3,True,False,4.115,3.985,3.154,2.292,3.066,3.209
2260,1048-49,3,True,False,4.613,4.853,3.584,3.314,3.683,3.049
2261,1048-49,3,True,False,4.301,3.947,2.914,2.87,3.393,3.049
2262,1048-49,3,True,False,3.655,3.172,3.487,3.334,3.454,3.589
2264,1048-49,3,True,False,3.863,4.156,3.539,3.232,3.844,2.412
2265,1048-49,3,False,False,,,,,,
2266,1048-49,3,True,False,3.81,3.821,3.065,3.77,3.245,3.523
2270,1048-49,3,True,False,3.559,3.715,2.971,3.688,2.907,3.023
2272,1048-49,2,True,True,3.867,3.212,2.92,2.93,3.282,3.154
2273,1048-49,3,False,False,,,,,,
2276,1048-49,3,True,False,3.936,3.677,2.529,3.24,3.554,4.06
2279,1048-49,2,False,True,,,,,,
2283,1048-49,3,True,False,4.251,4.3,2.971,2.091,3.627,2.739
2286,1048-49,3,True,False,3.781,3.763,3.108,2.715,3.458,3.291
2287,1048-49,3,True,False,3.522,4.027,3.308,3.424,3.114,3.222
2288,1048-49,2,False,True,,,,,,
2292,1048-49,3,True,False,3.319,4.026,3.067,3.557,3.607,3.287
2295,1048-49,3,True,False,4.354,3.885,2.035,2.872,3.625,3.093
2298,1048-49,3,True,False,4.215,4.055,2.608,3.471,3.488,3.714
2300,1048-49,3,True,False,4.313,3.847,3.437,3.349,3.602,2.884
2302,1048-49,3,True,False,4.451,4.29,3.282,4.216,3.572,3.955
2303,1048-49,3,True,False,3.727,3.999,3.24,2.671,3.781,3.002
2308,1048-49,3,True,False,3.447,3.381,3.451,3.834,3.06,3.109
2312,1048-49,3,False,False,,,,,,
2313,1048-49,3,True,False,4.491,3.64,3.246,3.247,2.801,2.994
2315,1048-49,2,True,True,2.968,3.894,2.86,2.515,3.493,3.016
2318,1048-49,3,True,False,3.671,4.263,2.513,2.852,4.135,3.57
2322,1048-49,3,False,False,,,,,,
2323,1048-49,3,True,False,3.74,4.274,3.049,2.943,4.138,2.832
2325,1048-49,3,False,False,,,,,,
2328,1048-49,3,True,False,3.727,3.991,3.109,3.209,3.593,4.074
2330,1048-49,2,True,True,3.743,3.208,3.393,2.983,3.374,3.639
2331,1048-49,3,True,False,3.898,3.414,3.402,3.51,3.774,3.005
2332,1048-49,3,True,False,4.204,3.952,2.986,3.587,3.437,2.928
2333,1048-49,3,True,False,3.666,3.523,3.366,3.133,3.838,3.119
2334,1048-49,3,False,False,,,,,,
2336,1048-49,3,True,False,4.016,4.356,3.495,3.04,3.771,3.035
234,1048-49,3,False,False,,,,,,
2341,1048-49,3,True,False,3.766,3.446,3.242,2.562,3.048,3.344
2343,1048-49,3,True,False,3.829,3.828,3.437,3.033,3.961,3.72
2346,1048-49,3,True,False,3.795,3.611,2.834,2.693,3.265,2.932
2347,1048-49,3,True,False,4.276,3.748,3.888,2.973,3.599,3.091
2348,1048-49,3,True,False,4.144,4.164,3.351,3.068,3.06,2.787
2356,1048-49,2,False,True,,,,,,
2359,1048-49,3,True,False,3.742,4.155,3.942,2.758,3.117,3.145
236,1048-49,2,True,True,3.676,3.532,2.09,2.219,3.788,3.407
2362,1048-49,3,False,False,,,,,,
2364,1048-49,3,True,False,3.659,3.951,3.173,3.725,3.284,3.153
237,1048-49,3,True,False,4.181,4.573,3.82,3.207,2.956,3.055
2379,1048-49,2,True,True,4.009,3.677,2.892,2.762,2.869,3.545
2381,1048-49,3,True,False,4.29,3.692,2.969,3.416,3.584,3.133
2382,1048-49,3,True,False,4.313,3.92,2.855,2.584,3.17,3.113
2383,1048-49,3,True,False,3.9,4.081,3.069,2.821,2.682,3.47
2386,1048-49,2,True,True,3.081,3.517,3.397,3.504,3.005,3.283
2388,1048-49,3,True,False,4.232,3.352,3.131,2.975,3.548,3.524
2389,1048-49,3,True,False,3.34,4.229,3.493,2.579,3.585,3.178
239,1048-49,3,True,False,4.634,3.792,3.23,2.815,3.658,2.74
2394,1048-49,3,True,False,4.458,4.631,3.019,2.943,3.429,3.16
2396,1048-49,3,True,False,3.918,4.317,2.792,3.399,3.936,3.431
2397,1048-49,3,False,False,,,,,,
2398,1048-49,3,False,False,,,,,,
2399,1048-49,3,True,False,3.424,4.214,3.485,2.969,3.6,2.84
240,1048-49,3,True,False,4.106,3.838,3.029,2.999,3.058,3.662
2400,1048-49,3,True,False,4.387,3.557,2.328,3.379,3.91,2.904
2402,1048-49,2,True,True,2.918,3.383,2.983,3.768,4.016,3.26
2403,1048-49,3,True,False,3.737,4.187,2.773,3.575,3.565,3.273
2407,1048-49,3,True,False,3.833,3.235,2.844,3.257,3.386,2.35
2409,1048-49,3,True,False,4.113,4.315,3.077,3.662,3.186,3.41
241,1048-49,3,True,False,3.576,4.179,2.968,3.525,4.062,4.644
2411,1048-49,2,True,True,3.533,4.092,3.073,2.534,2.954,3.278
2413,1048-49,3,True,False,4.128,4.552,2.823,2.699,3.249,3.279
2414,1048-49,2,True,True,3.334,3.606,3.461,3.5,3.922,4.264
2416,1048-49,3,False,False,,,,,,
2417,1048-49,3,True,False,3.911,3.778,4.064,3.579,2.657,3.379
2422,1048-49,3,True,False,4.097,4.42,3.095,2.945,3.78,3.376
2423,1048-49,3,True,False,3.538,4.125,3.865,3.179,3.312,3.253
2426,1048-49,3,True,False,4.727,4.069,2.787,2.814,3.517,3.036
2427,1048-49,2,True,True,3.257,3.5,2.567,3.727,3.494,3.063
2428,1048-49,3,True,False,4.257,4.392,3.432,2.803,3.571,2.193
2429,1048-49,3,True,False,3.475,3.917,3.364,2.984,2.912,3.478
243,1048-49,3,True,False,3.914,3.768,2.022,3.391,2.764,2.907
2434,1048-49,3,False,False,,,,,,
2435,1048-49,3,True,False,3.832,3.13,2.871,2.294,3.106,3.342
244,1048-49,3,True,False,3.843,3.816,3.201,2.727,3.431,3.379
2440,1048-49,3,True,False,4.0,4.063,3.429,3.592,3.807,3.358
2443,1048-49,3,True,False,3.931,2.567,2.677,2.266,3.599,3.711
2447,1048-49,3,True,False,4.169,3.225,3.225,3.607,3.417,3.313
2449,1048-49,3,True,False,4.277,3.792,2.559,2.961,4.013,2.65
2451,1048-49,3,False,False,,,,,,
2455,1048-49,2,True,True,3.633,3.984,2.325,3.353,3.405,3.325
2457,1048-49,3,True,False,3.397,3.194,3.183,2.405,3.24,3.245
2462,1048-49,3,True,False,4.72,3.514,3.611,3.507,3.52,3.754
2463,1048-49,3,True,False,4.309,3.571,3.03,3.644,3.158,4.219
2464,1048-49,3,False,False,,,,,,
2467,1048-49,3,True,False,3.938,3.963,3.068,3.436,3.753,2.927
2473,1048-49,3,True,False,3.756,3.969,3.271,3.712,2.864,3.22
2476,1048-49,3,True,False,4.682,4.122,3.226,2.813,2.656,3.13
248,1048-49,3,False,False,,,,,,
2481,1048-49,2,True,True,3.096,3.314,3.549,2.536,2.284,2.883
2483,1048-49,3,True,False,4.13,4.167,3.248,3.258,3.577,3.27
2484,1048-49,2,False,True,,,,,,
2485,1048-49,3,True,False,3.806,4.016,3.136,2.902,3.792,3.07
2486,1048-49,3,True,False,3.916,4.19,3.17,2.578,2.84,3.965
2488,1048-49,3,False,False,,,,,,
249,1048-49,3,True,False,3.752,3.824,3.741,3.45,3.274,3.58
2491,1048-49,3,True,False,3.85,4.078,2.531,2.995,2.898,3.578
2494,1048-49,3,True,False,4.083,4.247,3.16,2.754,2.985,3.093
2502,1048-49,2,True,True,3.454,2.913,2.841,2.658,2.769,3.143
2504,1048-49,3,False,False,,,,,,
2506,1048-49,3,False,False,,,,,,
251,1048-49,3,True,False,3.518,3.984,3.626,2.865,3.618,2.776
2513,1048-49,3,True,False,3.242,3.574,3.45,3.021,3.792,3.646
2515,1048-49,3,False,False,,,,,,
2516,1048-49,3,True,False,4.503,4.19,3.133,2.81,2.537,3.005
2518,1048-49,3,True,False,3.964,4.071,3.469,3.027,3.76,3.154
2521,1048-49,3,True,False,4.353,4.088,2.975,2.748,3.166,3.567
2524,1048-49,3,True,False,4.363,3.971,2.855,2.652,3.579,3.599
2525,1048-49,3,True,False,3.999,3.745,2.824,3.144,3.191,3.901
2526,1048-49,3,True,False,3.806,3.815,3.213,2.69,3.924,3.849
2527,1048-49,2,True,True,3.738,4.135,2.646,4.126,3.578,4.024
2538,1048-49,3,True,False,3.6,3.685,2.73,2.622,3.571,3.563
2543,1048-49,3,True,False,3.854,3.917,2.289,3.367,3.161,2.963
2545,1048-49,3,False,False,,,,,,
255,1048-49,3,True,False,4.304,4.339,3.238,3.188,3.067,2.984
2551,1048-49,3,False,False,,,,,,
2553,1048-49,3,True,False,3.969,4.441,2.933,3.865,4.201,2.496
2557,1048-49,3,True,False,4.486,4.313,3.212,3.648,3.371,3.156
2559,1048-49,3,True,False,3.737,4.676,2.483,3.124,2.859,3.018
2560,1048-49,3,False,False,,,,,,
2561,1048-49,3,True,False,4.286,4.048,2.885,2.621,3.02,3.891
2565,1048-49,3,True,False,3.919,4.287,2.734,2.991,3.544,3.323
2571,1048-49,2,True,True,3.248,3.734,3.566,2.994,3.379,3.352
2572,1048-49,2,True,True,3.798,3.439,3.163,2.886,3.152,3.044
2575,1048-49,3,True,False,3.651,4.658,3.03,3.211,3.849,3.366
2576,1048-49,3,True,False,4.458,4.175,3.28,2.598,3.706,3.114
2578,1048-49,2,True,True,3.221,3.413,1.719,2.919,4.01,3.095
2581,1048-49,3,True,False,3.946,3.507,3.0,2.307,3.738,3.61
2582,1048-49,3,True,False,3.804,4.611,2.514,2.798,3.405,3.214
2583,1048-49,2,True,True,3.945,3.084,3.386,3.699,3.394,3.299
2586,1048-49,3,True,False,4.252,3.669,2.939,3.492,3.061,3.648
2587,1048-49,3,True,False,4.422,3.796,3.494,2.527,3.722,3.347
259,1048-49,2,False,True,,,,,,
2590,1048-49,3,True,False,4.207,4.132,3.219,2.5,3.568,2.945
2592,1048-49,3,True,False,3.938,3.714,2.65,3.17,4.121,4.218
2596,1048-49,3,True,False,3.844,4.613,3.385,3.46,4.241,3.377
2597,1048-49,3,True,False,4.079,3.789,2.896,2.807,3.338,3.44
260,1048-49,2,False,True,,,,,,
2605,1048-49,2,True,True,4.205,3.547,3.743,3.554,3.235,3.707
2606,1048-49,3,False,False,,,,,,
2608,1048-49,3,True,False,4.309,3.76,2.46,3.273,3.493,3.43
2610,1048-49,3,True,False,3.914,3.74,3.113,3.469,3.477,2.732
2616,1048-49,3,True,False,3.884,3.497,3.83,3.006,3.398,3.279
2617,1048-49,3,True,False,4.449,3.574,3.43,3.67,3.713,3.368
2618,1048-49,2,True,True,3.47,3.26,3.058,2.815,2.66,3.154
2621,1048-49,3,True,False,4.327,4.413,3.185,3.543,3.621,3.569
2622,1048-49,3,True,False,4.179,3.566,3.475,3.175,4.051,3.505
2626,1048-49,1,True,True,3.154,3.059,2.744,2.936,2.799,2.325
2627,1048-49,3,True,False,3.721,4.263,2.111,2.627,3.544,2.901
263,1048-49,3,True,False,3.661,3.798,3.757,3.02,3.062,3.358
2630,1048-49,3,True,False,3.941,3.949,2.435,2.951,3.362,2.81
2631,1048-49,3,True,False,3.401,3.947,2.98,3.173,3.94,2.93
2633,1048-49,3,True,False,4.208,4.204,3.322,3.383,2.803,3.236
2634,1048-49,2,True,True,3.323,2.815,3.467,3.053,2.625,3.272
2635,1048-49,1,True,True,3.655,2.784,2.838,3.276,3.403,3.044
2636,1048-49,3,True,False,3.803,4.082,2.951,2.733,2.984,2.988
2637,1048-49,3,True,False,4.303,4.698,3.218,3.288,3.658,2.612
2638,1048-49,2,True,True,3.789,3.623,2.523,3.127,2.961,3.068
2639,1048-49,3,True,False,3.596,4.162,2.814,3.108,4.126,2.967
2641,1048-49,3,False,False,,,,,,
2642,1048-49,3,True,False,3.816,3.517,2.798,3.545,3.619,3.823
2643,1048-49,3,True,False,4.304,4.233,3.0,3.788,3.595,2.807
2644,1048-49,3,True,False,3.738,4.378,2.75,2.777,3.313,3.242
2645,1048-49,2,True,True,3.701,3.246,2.642,3.431,2.83,3.373
2647,1048-49,3,True,False,4.635,4.179,3.567,3.457,2.846,3.565
2649,1048-49,3,True,False,4.448,4.079,3.038,3.215,4.178,3.766
2652,1048-49,3,False,False,,,,,,
2656,1048-49,3,True,False,3.798,3.65,2.829,2.895,3.334,3.672
2657,1048-49,3,False,False,,,,,,
2659,1048-49,2,True,True,3.461,3.037,2.953,2.909,3.694,2.896
2660,1048-49,3,False,False,,,,,,
2661,1048-49,3,True,False,4.526,3.96,2.904,3.121,3.235,3.001
2671,1048-49,3,False,False,,,,,,
2676,1048-49,2,True,True,3.648,3.049,3.187,2.135,3.55,3.08
2678,1048-49,3,True,False,3.381,4.072,3.583,2.878,3.57,2.84
268,1048-49,3,False,False,,,,,,
2680,1048-49,3,True,False,3.99,3.913,3.071,2.989,3.867,2.664
2682,1048-49,2,True,True,3.593,3.756,3.196,2.563,3.092,3.224
2685,1048-49,3,True,False,3.833,4.111,3.723,2.957,3.735,2.818
2686,1048-49,2,True,True,3.485,3.393,2.671,3.138,3.013,3.134
2688,1048-49,3,True,False,3.738,3.749,2.925,2.748,3.558,3.92
2690,1048-49,3,True,False,3.852,4.16,2.817,2.533,3.273,2.664
2693,1048-49,3,True,False,4.501,4.287,3.031,2.969,3.888,2.961
2694,1048-49,2,True,True,2.906,3.39,2.93,2.889,3.07,2.547
2696,1048-49,3,False,False,,,,,,
2697,1048-49,2,False,True,,,,,,
2699,1048-49,3,False,False,,,,,,
2702,1048-49,3,False,False,,,,,,
2703,1048-49,3,True,False,4.132,3.331,2.642,3.379,3.33,3.598
2704,1048-49,3,False,False,,,,,,
2709,1048-49,3,True,False,3.614,3.746,3.311,2.904,3.415,2.899
271,1048-49,3,False,False,,,,,,
2712,1048-49,3,True,False,3.572,3.893,3.574,2.939,4.123,3.537
2713,1048-49,2,True,True,3.416,3.804,3.367,3.346,2.908,3.824
2717,1048-49,3,True,False,3.493,3.739,3.103,2.769,3.748,3.868
2719,1048-49,3,True,False,4.689,3.678,3.308,3.052,3.579,3.845
272,1048-49,2,True,True,3.295,3.595,2.637,2.764,3.965,2.98
2721,1048-49,3,True,False,4.044,4.325,2.771,2.754,3.251,3.196
2724,1048-49,3,True,False,4.661,3.324,4.031,3.165,2.982,3.289
2726,1048-49,3,False,False,,,,,,
2729,1048-49,3,True,False,4.67,3.955,2.896,3.36,3.07,3.374
2731,1048-49,3,True,False,4.026,3.215,3.352,3.071,3.099,4.486
2732,1048-49,3,True,False,3.849,3.792,3.544,2.811,3.431,3.57
2734,1048-49,2,True,True,3.222,3.449,3.025,2.64,2.933,3.58
274,1048-49,3,True,False,3.486,3.31,3.022,2.855,3.887,3.578
2740,1048-49,3,False,False,,,,,,
2742,1048-49,3,True,False,3.868,4.059,2.757,2.728,3.204,3.394
2745,1048-49,3,True,False,4.078,4.068,2.937,3.465,3.691,2.413
2746,1048-49,2,True,True,3.32,3.618,2.878,2.476,3.205,2.868
2748,1048-49,3,True,False,4.098,3.963,2.895,2.888,4.318,3.834
275,1048-49,2,False,True,,,,,,
2751,1048-49,3,True,False,4.614,4.187,3.087,3.288,3.443,2.81
2754,1048-49,3,True,False,4.386,4.062,2.955,2.36,3.948,3.892
2758,1048-49,3,True,False,4.236,3.85,3.186,2.658,3.895,3.351
276,1048-49,2,True,True,3.666,3.393,2.277,2.102,3.102,3.341
2763,1048-49,3,True,False,3.925,4.042,2.997,2.637,3.753,3.848
2764,1048-49,3,False,False,,,,,,
2767,1048-49,3,True,False,4.556,3.777,3.404,3.092,3.54,4.014
2769,1048-49,3,True,False,3.919,4.542,2.98,3.158,3.61,2.915
277,1048-49,3,False,False,,,,,,
2771,1048-49,3,False,False,,,,,,
2772,1048-49,3,True,False,4.155,3.906,3.638,3.677,3.22,3.862
2773,1048-49,3,True,False,3.496,3.88,3.365,3.388,3.999,3.141
2777,1048-49,3,True,False,4.76,3.975,2.41,3.265,3.508,3.584
2783,1048-49,3,True,False,4.036,4.181,3.601,2.833,3.196,3.381
2790,1048-49,3,True,False,4.174,3.678,2.907,3.333,2.846,3.72
2795,1048-49,2,True,True,3.418,3.519,3.279,2.486,3.501,3.957
2797,1048-49,3,False,False,,,,,,
2800,1048-49,3,True,False,3.71,3.545,3.502,3.601,3.443,2.65
2801,1048-49,3,True,False,3.769,3.736,2.862,2.398,3.046,3.105
2802,1048-49,3,False,False,,,,,,
2804,1048-49,3,True,False,3.611,4.19,3.202,3.493,3.785,2.82
2806,1048-49,3,False,False,,,,,,
2808,1048-49,3,True,False,3.698,4.403,3.867,3.479,3.354,3.321
281,1048-49,2,True,True,3.228,3.25,3.303,3.568,3.689,3.987
2815,1048-49,2,True,True,3.088,3.212,3.247,2.484,2.757,2.888
2818,1048-49,3,True,False,4.285,4.131,2.516,3.423,3.42,2.967
2820,1048-49,3,True,False,3.379,3.815,2.889,3.651,3.247,3.338
2824,1048-49,2,True,True,3.417,3.312,2.609,3.123,2.632,2.813
2827,1048-49,3,True,False,4.127,4.304,2.991,3.528,3.7,4.044
2828,1048-49,3,True,False,4.196,4.484,2.488,3.092,3.285,3.037
2829,1048-49,3,True,False,3.701,4.235,3.242,3.141,3.216,3.753
2830,1048-49,3,True,False,4.373,4.166,3.117,2.536,2.996,2.295
2831,1048-49,3,True,False,3.681,4.213,3.235,2.68,3.286,3.238
2833,1048-49,3,True,False,3.918,4.069,2.284,3.296,3.7,2.334
2839,1048-49,3,True,False,3.297,4.234,3.542,2.815,3.323,3.245
284,1048-49,3,False,False,,,,,,
2846,1048-49,3,True,False,3.616,4.289,3.43,3.427,3.943,3.748
285,1048-49,2,True,True,4.217,3.191,2.862,3.388,3.459,3.043
2850,1048-49,2,True,True,3.27,3.554,3.316,3.641,3.514,3.338
2852,1048-49,3,True,False,3.644,4.049,3.633,2.764,3.534,3.67
2855,1048-49,3,True,False,4.345,3.964,3.083,3.07,3.835,3.52
2860,1048-49,3,True,False,4.012,3.39,3.037,3.076,2.578,2.947
2866,1048-49,2,True,True,3.877,3.11,3.463,3.24,3.567,3.717
2869,1048-49,2,True,True,2.547,2.995,2.776,3.023,2.018,3.395
287,1048-49,3,True,False,4.01,3.666,2.203,2.523,3.337,3.54
2871,1048-49,2,True,True,3.705,3.53,2.608,3.005,3.46,3.145
2872,1048-49,2,True,True,4.09,3.777,2.706,3.393,3.62,2.848
2874,1048-49,3,True,False,3.769,4.467,3.434,3.056,3.761,3.038
2876,1048-49,2,True,True,3.816,3.271,2.996,1.853,2.797,3.165
2882,1048-49,3,False,False,,,,,,
2884,1048-49,2,True,True,3.507,3.609,2.312,2.507,3.453,2.676
2885,1048-49,2,False,True,,,,,,
2888,1048-49,3,True,False,4.069,4.008,2.881,3.085,4.366,3.716
2889,1048-49,3,False,False,,,,,,
289,1048-49,3,True,False,3.747,3.832,3.083,3.423,3.631,3.003
2891,1048-49,3,True,False,3.229,3.562,3.584,3.183,2.801,3.046
2894,1048-49,3,False,False,,,,,,
2896,1048-49,3,True,False,4.693,3.986,2.718,2.922,3.251,3.182
290,1048-49,3,True,False,4.155,3.964,3.731,3.875,2.559,3.236
2900,1048-49,3,True,False,3.855,4.094,2.664,2.489,4.105,3.358
2902,1048-49,2,True,True,4.114,3.201,2.633,3.248,3.229,2.954
2904,1048-49,3,True,False,3.857,4.208,2.823,3.502,2.918,3.687
2906,1048-49,3,True,False,3.869,4.196,3.087,3.254,3.842,3.19
2907,1048-49,3,False,False,,,,,,
2908,1048-49,3,True,False,3.986,3.46,3.581,3.422,3.093,3.212
2909,1048-49,3,True,False,4.695,3.489,2.862,2.968,3.755,3.634
291,1048-49,2,True,True,2.548,3.465,2.245,3.215,3.643,3.609
2911,1048-49,3,True,False,3.629,4.327,2.51,3.615,2.949,3.74
2913,1048-49,3,True,False,4.004,3.747,2.301,2.926,3.188,2.781
2916,1048-49,1,True,True,3.379,3.026,3.057,2.808,2.979,2.449
292,1048-49,3,True,False,4.357,4.996,3.119,3.076,3.767,3.288
2920,1048-49,3,True,False,3.481,3.697,3.771,2.465,3.422,3.07
2926,1048-49,3,True,False,4.017,4.379,2.531,2.819,3.105,3.046
2928,1048-49,3,False,False,,,,,,
2931,1048-49,3,True,False,4.393,3.83,3.65,3.009,3.869,2.833
2932,1048-49,3,True,False,4.742,3.693,3.107,2.855,3.577,3.768
2934,1048-49,3,True,False,3.455,4.595,3.072,3.636,3.022,3.016
2935,1048-49,3,True,False,3.631,3.435,3.078,3.103,3.853,3.179
2938,1048-49,3,False,False,,,,,,
2944,1048-49,3,True,False,4.063,3.939,3.527,3.553,3.463,2.718
2945,1048-49,2,True,True,3.757,3.316,2.418,3.48,4.113,2.919
2949,1048-49,2,False,True,,,,,,
295,1048-49,3,True,False,4.042,4.161,3.005,2.86,2.982,3.633
2950,1048-49,3,True,False,3.475,3.953,3.463,3.396,3.41,2.511
2951,1048-49,1,False,True,,,,,,
2953,1048-49,1,True,True,3.243,2.685,2.676,4.017,3.382,4.019
2955,1048-49,3,True,False,4.198,4.436,3.402,2.94,3.936,3.411
2957,1048-49,2,True,True,3.485,3.54,2.853,2.4,3.444,3.128
2958,1048-49,3,True,False,3.876,3.683,3.305,3.206,3.671,3.772
2962,1048-49,3,True,False,4.363,4.103,2.886,3.215,3.637,3.502
2963,1048-49,3,True,False,4.269,4.214,2.747,3.221,3.567,3.355
2965,1048-49,3,False,False,,,,,,
2967,1048-49,3,True,False,4.07,3.538,3.255,3.067,2.536,4.093
2968,1048-49,2,False,True,,,,,,
2971,1048-49,3,True,False,2.629,3.795,3.171,2.988,2.945,3.341
2972,1048-49,3,True,False,3.281,4.063,3.316,3.277,2.804,3.789
2973,1048-49,3,False,False,,,,,,
2978,1048-49,3,True,False,3.854,4.21,3.14,3.894,3.982,2.838
2980,1048-49,3,True,False,3.87,4.403,3.163,2.623,4.273,3.308
2985,1048-49,2,True,True,3.746,3.447,3.289,3.274,3.817,3.275
2987,1048-49,3,False,False,,,,,,
2990,1048-49,1,True,True,2.451,3.121,3.155,3.45,3.008,3.494
2991,1048-49,3,True,False,4.726,3.53,3.285,2.862,3.351,3.876
2993,1048-49,3,True,False,4.057,4.257,3.299,2.755,3.628,2.24
2996,1048-49,3,True,False,5.0,4.249,3.038,3.428,3.285,3.204
2997,1048-49,2,True,True,3.573,3.625,2.37,2.451,2.736,3.04
2998,1048-49,1,True,True,2.601,2.648,3.071,3.615,3.043,3.563
300,1048-49,3,True,False,4.245,3.485,2.397,3.369,2.909,2.784
3002,1048-49,3,True,False,3.7,4.746,3.633,2.422,3.051,3.459
3003,1048-49,2,True,True,2.957,3.977,3.449,3.072,3.26,3.11
3006,1048-49,3,True,False,4.51,3.52,3.48,3.187,3.527,3.065
301,1048-49,3,True,False,3.374,3.468,3.312,3.385,4.212,3.442
3010,1048-49,2,True,True,2.975,3.585,3.366,3.928,2.691,3.508
3015,1048-49,3,True,False,3.687,4.016,3.025,4.014,2.965,3.343
3016,1048-49,2,True,True,2.881,4.046,3.29,3.003,2.512,2.702
3017,1048-49,3,True,False,3.966,4.165,3.482,3.952,3.45,3.432
