module_code,module_title,programme_code,module_year,semester,assessment_type,difficulty_level,social_requirements,creativity_requirements,practical_theoretical_balance,stress_level,group_work_intensity,independent_study_requirement
532203,Historiography,3_2_2,2,2,Presentation,0.62,0.77,0.69,0.6,0.62,0.82,0.59
532201,Social & Cultural History,3_2_2,2,1,Written exam,0.65,0.53,0.83,0.19,0.42,0.38,0.58
532204,Archival Research Methods,3_2_2,2,2,Written coursework,0.61,0.3,0.74,0.58,0.66,0.75,0.57
532202,Political History,3_2_2,2,1,Written exam,0.43,0.61,0.79,0.25,0.41,0.71,0.51
523901,Surface Finishing & Treatment,2_3_9,2,1,Professional artefact,0.53,0.83,0.77,0.68,0.62,0.79,0.69
523904,Form and Function: Design Studio I,2_3_9,2,2,Groupwork,0.46,0.85,0.91,0.52,0.59,0.92,0.45
523902,Alloy Theory and Practical Metallurgy,2_3_9,2,1,Professional artefact,0.51,0.56,0.75,0.87,0.47,0.45,0.4
523903,"Forging for Fit: Joints, Hinges, and Mechanisms",2_3_9,2,2,Professional artefact,0.57,0.56,0.77,0.89,0.48,0.54,0.4
522403,Character & Concept Design,2_2_4,2,2,Professional artefact,0.52,0.8,0.78,0.76,0.5,0.82,0.58
522402,Editorial & Publishing Illustration,2_2_4,2,1,Professional artefact,0.47,0.81,0.8,0.64,0.54,0.79,0.56
522401,Narrative Illustration,2_2_4,2,1,Groupwork,0.56,0.75,0.79,0.56,0.6,0.87,0.53
522404,Professional Practice,2_2_4,2,2,Professional artefact,0.6,0.81,0.87,0.42,0.57,0.82,0.5
531102,Urban & Economic Geography,3_1_1,2,1,Written coursework,0.63,0.73,0.72,0.38,0.6,0.75,0.67
531104,Research Methods in Geography,3_1_1,2,2,Written coursework,0.51,0.68,0.72,0.42,0.57,0.75,0.64
531101,Environmental Change,3_1_1,2,1,Written exam,0.5,0.46,0.75,0.47,0.48,0.81,0.53
531103,Geospatial Analysis,3_1_1,2,2,Written exam,0.53,0.46,0.78,0.29,0.46,0.56,0.52
5241104,Design History & Theory,2_4_11,2,2,Written coursework,0.61,0.46,0.82,0.44,0.58,0.61,0.64
5241102,Editorial & Publication Design,2_4_11,2,1,Professional artefact,0.51,0.46,0.81,0.74,0.48,0.64,0.61
5241101,Branding & Identity Design,2_4_11,2,1,Professional artefact,0.51,0.75,0.79,0.66,0.54,0.77,0.52
611202,Dissertation / Research Project,1_1_2,3,2,Written coursework,0.95,0.6,0.64,0.46,0.8,0.38,0.95
611201,Strategic Management,1_1_2,3,1,Viva,0.83,0.53,0.62,0.21,0.73,0.47,0.78
611204,Business Ethics & Corporate Governance,1_1_2,3,2,Written coursework,0.62,0.57,0.67,0.16,0.6,0.47,0.73
611203,Entrepreneurship,1_1_2,3,2,Groupwork,0.71,0.79,0.75,0.38,0.74,0.93,0.62
611103,Dissertation / Research Project,1_1_1,3,2,Written coursework,0.95,0.6,0.64,0.46,0.8,0.38,0.95
611102,Audit & Assurance,1_1_1,3,1,Viva,0.74,0.63,0.6,0.52,0.68,0.66,0.72
611101,Advanced Financial Reporting,1_1_1,3,1,Viva,0.7,0.74,0.65,0.54,0.67,0.73,0.69
611104,Strategic Financial Management,1_1_1,3,2,Viva,0.77,0.62,0.68,0.29,0.69,0.62,0.66
621101,Major Project / Dissertation,2_1_1,3,1,Written coursework,0.85,0.76,0.75,0.65,0.76,0.38,0.95
621102,Professional Practice & Management,2_1_1,3,1,Viva,0.69,0.62,0.84,0.32,0.68,0.56,0.69
621104,Advanced Architectural Technology,2_1_1,3,2,Professional artefact,0.81,0.7,0.87,0.66,0.78,0.75,0.69
621103,Urban Design & Planning,2_1_1,3,2,Written coursework,0.75,0.69,0.8,0.6,0.75,0.72,0.54
622201,Major Studio Project,2_2_2,3,1,Professional artefact,0.89,0.72,0.83,0.58,0.83,0.38,0.95
622202,Advanced Cyanotype & Alternative Photography,2_2_2,3,1,Professional artefact,0.73,0.82,0.8,0.72,0.74,0.76,0.79
622203,Exhibition & Portfolio Development,2_2_2,3,2,Written coursework,0.77,0.78,0.66,0.62,0.78,0.83,0.78
622204,Critical Studies in Contemporary Art,2_2_2,3,2,Written exam,0.65,0.66,0.94,0.29,0.63,0.55,0.57
623701,Dissertation / Research Project,2_3_7,3,2,Written coursework,0.95,0.6,0.64,0.46,0.8,0.38,0.95
623703,Ancient Civilisations,2_3_7,3,2,Professional artefact,0.74,0.84,0.76,0.71,0.73,0.77,0.67
623702,Speculative Restoration: Imagining Futures from Fragments,2_3_7,3,1,Groupwork,0.76,0.84,0.72,0.72,0.77,0.92,0.65
623704,Public Heritage,2_3_7,3,2,Professional artefact,0.58,0.68,0.84,0.64,0.68,0.7,0.59
623804,Dissertation / Research Project,2_3_8,3,2,Written coursework,0.95,0.6,0.64,0.46,0.8,0.38,0.95
623803,Distillation & Alternative Fermentations,2_3_8,3,2,Groupwork,0.8,0.81,0.8,0.62,0.75,0.86,0.92
623801,"Fermentation Futures: Probiotics, Policy, and Place",2_3_8,3,1,Written coursework,0.67,0.56,0.89,0.28,0.6,0.53,0.69
6241001,Final Collection / Major Project,2_4_10,3,1,Written coursework,0.95,0.56,0.82,0.54,0.83,0.38,0.95
6241002,Professional Practice in Fashion,2_4_10,3,2,Professional artefact,0.73,0.76,0.81,0.63,0.73,0.83,0.66
622402,Portfolio Development,2_4_10,3,1,Professional artefact,0.54,0.71,0.81,0.67,0.53,0.76,0.57
6241003,Sustainable Fashion Design,2_4_10,3,2,Written coursework,0.69,0.71,0.85,0.52,0.66,0.82,0.48
611403,Dissertation / Research Project,1_1_4,3,2,Written coursework,0.95,0.6,0.64,0.46,0.8,0.38,0.95
611402,Sustainable Tourism,1_1_4,3,1,Viva,0.72,0.57,0.61,0.55,0.76,0.86,0.81
611401,Strategic Hospitality Management,1_1_4,3,1,Viva,0.74,0.56,0.66,0.31,0.77,0.64,0.8
611404,Hospitality Entrepreneurship,1_1_4,3,2,Groupwork,0.71,0.79,0.6,0.65,0.7,0.88,0.72
611302,Dissertation / Research Project,1_1_3,3,2,Written coursework,0.95,0.6,0.64,0.46,0.8,0.38,0.95
611304,Emerging Markets & Trade Policy,1_1_3,3,2,Viva,0.8,0.7,0.69,0.16,0.76,0.66,0.8
611301,Strategic Entrepreneurship,1_1_3,3,1,Written coursework,0.75,0.9,0.65,0.42,0.74,0.8,0.78
611303,Innovation Management,1_1_3,3,2,Written coursework,0.61,0.63,0.71,0.18,0.64,0.64,0.64
611501,Dissertation / Research Project,1_1_5,3,2,Written coursework,0.95,0.6,0.64,0.46,0.8,0.38,0.95
611502,Employment Law,1_1_5,3,1,Written exam,0.64,0.59,0.74,0.18,0.63,0.68,0.6
611503,Leadership & Change Management,1_1_5,3,2,Multi-choice exam,0.53,0.75,0.64,0.33,0.57,0.58,0.54
611504,Diversity & Inclusion,1_1_5,3,2,Written coursework,0.65,0.7,0.69,0.41,0.62,0.72,0.53
622302,Major Project / Dissertation,2_2_3,3,1,Written coursework,0.85,0.76,0.75,0.65,0.76,0.38,0.95
622303,Exhibition Practice,2_2_3,3,2,Professional artefact,0.77,0.74,0.83,0.69,0.73,0.72,0.75
622301,Studio Practice III,2_2_3,3,1,Viva,0.7,0.7,0.83,0.59,0.68,0.74,0.65
622304,Critical & Contextual Studies,2_2_3,3,2,Written coursework,0.67,0.6,0.95,0.28,0.73,0.63,0.62
622601,Performance III / Recital,2_2_6,3,1,Professional artefact,0.95,0.65,0.84,0.6,0.81,0.38,0.95
622603,Musicology,2_2_6,3,2,Groupwork,0.69,0.75,0.85,0.67,0.71,0.85,0.77
622602,Composition II,2_2_6,3,1,Groupwork,0.8,0.81,0.85,0.65,0.82,0.95,0.75
622604,Professional Practice in Music,2_2_6,3,2,Presentation,0.65,0.79,0.66,0.73,0.67,0.79,0.58
642401,Advanced Herbal Practice,4_2_12,3,1,Written coursework,0.67,0.82,0.64,0.74,0.69,0.75,0.74
6241201,Final Interior Design Project,2_4_12,3,1,Professional artefact,0.95,0.66,0.78,0.69,0.78,0.38,0.95
6241102,Professional Practice,2_4_12,3,2,Professional artefact,0.6,0.81,0.87,0.42,0.57,0.82,0.5
6241202,Sustainable Interior Design,2_4_12,3,2,Viva,0.69,0.71,0.85,0.59,0.64,0.72,0.71
6241203,Advanced Spatial Design,2_4_12,3,2,Professional artefact,0.74,0.81,0.76,0.67,0.76,0.83,0.63
612102,Dissertation / Research Project,1_2_1,3,2,Written coursework,0.95,0.6,0.64,0.46,0.8,0.38,0.95
612103,International Law,1_2_1,3,2,Viva,0.79,0.65,0.71,0.22,0.79,0.6,0.78
612101,Company Law,1_2_1,3,1,Viva,0.82,0.6,0.75,0.13,0.69,0.62,0.74
612104,Jurisprudence,1_2_1,3,2,Viva,0.77,0.58,0.71,0.14,0.7,0.52,0.73
622503,Media Project / Dissertation,2_2_5,3,2,Written coursework,0.85,0.54,0.87,0.41,0.73,0.38,0.95
622501,Advanced Media Theory,2_2_5,3,1,Viva,0.7,0.65,0.83,0.5,0.71,0.54,0.84
622504,Political Economy of Media,2_2_5,3,2,Presentation,0.68,0.88,0.82,0.6,0.72,0.81,0.66
622502,Global Media & Communication,2_2_5,3,1,Presentation,0.7,0.82,0.77,0.57,0.69,0.73,0.57
632202,Dissertation,3_2_2,3,1,Written coursework,0.88,0.54,0.71,0.46,0.76,0.38,0.95
632201,Special Subject in History,3_2_2,3,1,Viva,0.78,0.3,0.74,0.19,0.77,0.77,0.84
632203,Public History,3_2_2,3,2,Viva,0.76,0.65,0.79,0.21,0.66,0.55,0.68
632204,Global Historical Perspectives,3_2_2,3,2,Written exam,0.63,0.69,0.72,0.46,0.72,0.74,0.61
623902,Capstone: Precision Artefact for Client or Cause,2_3_9,3,1,Written coursework,0.93,0.72,0.82,0.6,0.79,0.38,0.95
623903,"Ethics in Craft, Ownership, and Replication",2_3_9,3,2,Written coursework,0.53,0.72,0.75,0.48,0.57,0.69,0.71
623904,Professional Practice & Entrepreneurship,2_3_9,3,2,Written coursework,0.61,0.67,0.8,0.6,0.66,0.7,0.59
623901,Design Studio II: Commissions and Constraints,2_3_9,3,1,Professional artefact,0.6,0.72,0.85,0.67,0.62,0.69,0.57
622401,Advanced Illustration Project,2_2_4,3,1,Professional artefact,0.87,0.57,0.9,0.51,0.72,0.38,0.88
622404,Contemporary Illustration Contexts,2_2_4,3,2,Professional artefact,0.85,0.95,0.76,0.7,0.85,0.82,0.82
622403,Self-Promotion & Freelancing,2_2_4,3,2,Professional artefact,0.67,0.72,0.82,0.65,0.7,0.78,0.66
631102,Dissertation / Field Research Project,3_1_1,3,1,Written coursework,0.89,0.66,0.75,0.5,0.77,0.38,0.84
631101,Advanced Topics in Geography,3_1_1,3,1,Viva,0.74,0.46,0.7,0.53,0.74,0.74,0.81
631104,Global Development,3_1_1,3,2,Written coursework,0.68,0.66,0.83,0.28,0.67,0.74,0.77
631103,Ecosystems & Sustainability,3_1_1,3,2,Groupwork,0.53,0.83,0.72,0.36,0.63,0.85,0.56
6241101,Major Design Project,2_4_11,3,1,Professional artefact,0.9,0.63,0.75,0.73,0.76,0.38,0.95
6241103,Contemporary Design Issues,2_4_11,3,2,Presentation,0.76,0.81,0.85,0.56,0.75,0.78,0.74
