student_id,academic_year_graduated,programme_code,degree_classification,degree_weighted_avg
3905,1048-49,2_2_3,2:2,51.8
391,1048-49,1_1_3,2:2,51.9
3917,1048-49,3_1_1,Third,47.8
392,1048-49,2_2_2,2:2,55.9
3924,1048-49,4_2_12,Third,47.9
3925,1048-49,4_2_12,First,72.1
3926,1048-49,1_1_3,2:2,53.1
3929,1048-49,1_1_5,2:1,60.6
3931,1048-49,2_3_8,2:2,54.2
3932,1048-49,1_1_5,First,71.0
3933,1048-49,1_1_4,2:2,56.1
3936,1048-49,3_2_2,2:1,65.2
3937,1048-49,4_2_12,Third,43.9
394,1048-49,2_4_11,First,70.0
3949,1048-49,1_1_2,2:2,54.2
3954,1048-49,1_1_2,2:2,50.2
3960,1048-49,1_1_4,2:1,63.7
3961,1048-49,3_1_1,2:2,54.1
3962,1048-49,2_2_5,2:2,57.9
3963,1048-49,2_4_10,2:2,52.9
3964,1048-49,2_4_12,2:2,58.9
3966,1048-49,3_2_2,Third,47.1
3969,1048-49,2_3_9,First,79.8
3973,1048-49,2_3_8,2:1,65.2
3974,1048-49,2_2_6,2:1,62.4
3977,1048-49,4_2_12,2:2,54.7
3979,1048-49,2_3_8,2:1,66.1
3980,1048-49,2_3_8,2:2,57.5
3982,1048-49,1_1_3,First,70.0
3983,1048-49,2_2_4,2:2,57.9
3987,1048-49,2_4_10,2:1,67.4
3990,1048-49,1_1_2,First,72.2
3994,1048-49,1_1_3,2:2,54.3
3996,1048-49,2_2_2,First,75.5
3997,1048-49,2_2_3,2:1,62.6
400,1048-49,2_2_5,First,72.2
4007,1048-49,4_2_12,2:1,61.6
4008,1048-49,4_2_12,2:1,60.6
4009,1048-49,2_2_6,2:1,67.8
4014,1048-49,2_2_4,2:1,60.0
4021,1048-49,2_3_8,2:1,62.7
4023,1048-49,2_4_12,2:1,60.7
4025,1048-49,2_2_3,2:1,67.3
4035,1048-49,4_2_12,2:2,57.8
4045,1048-49,2_4_10,2:1,65.7
4052,1048-49,2_4_11,2:2,57.0
4064,1048-49,2_3_9,2:2,57.5
4067,1048-49,2_4_11,2:2,55.8
4071,1048-49,4_2_12,First,87.2
4076,1048-49,2_4_12,2:1,66.2
4077,1048-49,2_2_6,2:1,66.5
4081,1048-49,2_2_4,2:2,53.9
4083,1048-49,1_1_1,2:1,65.3
4084,1048-49,2_2_6,2:1,67.7
4088,1048-49,1_1_1,2:2,52.8
4089,1048-49,2_4_12,2:1,67.6
4099,1048-49,1_1_2,2:1,66.3
410,1048-49,1_2_1,2:2,54.2
4105,1048-49,2_4_10,2:2,52.8
4108,1048-49,2_2_2,2:1,67.4
411,1048-49,1_1_2,First,70.8
4110,1048-49,2_4_10,2:2,56.5
4112,1048-49,4_2_12,2:1,63.9
4113,1048-49,1_1_1,2:1,67.3
4119,1048-49,3_1_1,First,72.8
412,1048-49,2_4_12,2:2,52.6
4120,1048-49,2_2_4,2:1,63.6
4121,1048-49,3_1_1,2:2,53.9
4128,1048-49,2_2_2,2:2,51.5
4130,1048-49,1_1_2,2:1,63.8
4133,1048-49,4_2_12,2:2,58.4
4136,1048-49,3_2_2,2:1,66.0
4142,1048-49,2_1_1,2:2,59.0
4147,1048-49,4_2_12,2:1,62.1
4161,1048-49,2_3_8,2:1,67.9
4163,1048-49,2_2_3,2:2,51.8
4164,1048-49,1_1_5,First,70.9
4173,1048-49,4_2_12,First,78.2
4175,1048-49,3_2_2,2:1,60.4
4177,1048-49,2_3_8,2:2,53.9
4186,1048-49,4_2_12,Third,49.6
419,1048-49,2_4_11,First,76.7
4194,1048-49,2_2_4,2:1,61.1
4199,1048-49,1_1_4,Third,44.4
4200,1048-49,3_2_2,2:1,65.3
4204,1048-49,2_2_2,2:2,52.4
4212,1048-49,2_2_5,2:2,51.1
4217,1048-49,1_1_3,2:1,68.2
422,1048-49,1_1_2,2:1,63.0
4226,1048-49,2_1_1,2:1,66.7
4229,1048-49,2_1_1,2:1,67.9
4236,1048-49,1_1_1,First,74.8
4240,1048-49,1_1_1,First,74.2
4241,1048-49,2_4_12,2:1,68.3
4242,1048-49,1_1_3,2:2,59.7
4247,1048-49,2_3_7,2:1,69.7
425,1048-49,1_1_5,2:2,57.2
4254,1048-49,3_2_2,2:1,63.4
426,1048-49,4_2_12,2:1,65.5
4260,1048-49,1_1_4,First,73.1
4269,1048-49,2_4_10,2:2,59.6
4270,1048-49,2_2_5,First,73.5
4276,1048-49,2_2_4,2:2,50.2
4284,1048-49,1_2_1,2:2,55.1
4289,1048-49,2_2_5,2:2,55.8
4297,1048-49,2_4_10,2:2,53.2
430,1048-49,1_1_3,2:1,64.1
4307,1048-49,1_1_2,2:2,59.0
4319,1048-49,2_2_6,2:2,56.3
4324,1048-49,1_1_3,2:1,65.9
4326,1048-49,1_1_2,2:1,64.8
4328,1048-49,1_2_1,2:1,69.2
433,1048-49,2_2_5,2:2,59.7
4332,1048-49,2_2_5,2:2,56.5
4344,1048-49,2_4_12,2:2,58.2
4347,1048-49,1_1_5,2:1,68.7
4349,1048-49,1_1_1,2:1,64.5
4355,1048-49,1_2_1,2:2,54.2
4357,1048-49,2_2_6,2:1,63.7
4359,1048-49,2_4_12,2:2,52.4
4361,1048-49,2_3_8,2:2,53.4
4366,1048-49,2_3_9,2:1,62.6
4372,1048-49,1_1_4,2:2,57.1
4390,1048-49,2_3_8,2:2,56.1
4393,1048-49,2_4_12,2:1,61.8
4394,1048-49,2_4_12,2:2,50.4
4406,1048-49,1_1_2,2:2,59.4
4416,1048-49,4_2_12,2:2,56.4
442,1048-49,2_2_4,2:1,60.7
4420,1048-49,2_4_10,2:2,55.1
4425,1048-49,2_4_10,2:1,66.4
4427,1048-49,1_1_2,2:2,59.7
4428,1048-49,2_2_5,First,75.0
4436,1048-49,4_2_12,First,77.1
4437,1048-49,2_3_9,2:2,57.2
4438,1048-49,2_2_2,2:1,62.2
4439,1048-49,2_3_8,2:2,52.8
4446,1048-49,2_2_3,2:1,65.9
4461,1048-49,1_1_3,First,73.9
4465,1048-49,2_4_10,2:2,52.3
4466,1048-49,4_2_12,Third,47.8
447,1048-49,2_4_10,2:1,69.6
4471,1048-49,2_2_6,2:1,62.4
4479,1048-49,2_2_5,2:1,68.8
4480,1048-49,1_1_4,2:2,54.6
4481,1048-49,2_2_4,2:1,67.0
4488,1048-49,2_2_2,2:2,50.8
4498,1048-49,2_2_6,2:2,56.6
45,1048-49,2_1_1,First,71.3
4500,1048-49,2_2_5,2:1,69.2
4503,1048-49,1_1_2,2:1,66.5
4511,1048-49,1_1_5,2:1,66.5
4513,1048-49,2_3_7,2:2,59.2
4516,1048-49,2_3_9,First,72.1
4517,1048-49,1_1_5,2:2,52.8
4518,1048-49,2_4_10,2:2,52.0
452,1048-49,2_4_11,2:2,53.8
4525,1048-49,1_1_2,Third,47.7
453,1048-49,2_3_7,2:2,53.0
4534,1048-49,2_4_10,2:1,62.5
4535,1048-49,4_2_12,2:2,53.8
4536,1048-49,1_1_3,2:2,54.2
4538,1048-49,2_4_10,Third,49.2
4539,1048-49,2_2_6,2:2,57.6
454,1048-49,1_1_3,Third,47.6
4540,1048-49,2_3_7,2:1,65.5
4541,1048-49,2_4_10,2:2,59.6
4546,1048-49,2_4_10,2:1,64.4
4552,1048-49,1_1_2,2:1,62.9
4562,1048-49,1_1_2,2:1,66.0
457,1048-49,2_2_2,2:1,62.5
4570,1048-49,2_3_8,2:1,64.7
4582,1048-49,1_1_4,2:1,62.9
4596,1048-49,2_3_8,2:2,57.6
4598,1048-49,2_3_7,2:1,61.5
4599,1048-49,1_1_5,2:2,53.5
46,1048-49,2_3_7,2:1,63.8
4602,1048-49,2_4_12,2:2,59.1
4605,1048-49,2_2_3,2:1,64.5
4607,1048-49,1_1_2,2:2,54.0
4618,1048-49,2_1_1,2:1,60.8
462,1048-49,2_4_12,2:1,63.7
4620,1048-49,2_1_1,2:1,65.8
4623,1048-49,2_3_9,2:1,68.3
4635,1048-49,2_2_2,2:1,67.3
4637,1048-49,1_1_4,2:1,67.2
4643,1048-49,1_1_3,2:1,64.2
4645,1048-49,2_3_8,2:2,59.0
4646,1048-49,2_1_1,2:1,63.8
4647,1048-49,2_3_7,2:2,57.1
4650,1048-49,2_4_12,2:2,56.8
4651,1048-49,2_2_5,2:1,65.6
4655,1048-49,1_1_2,2:2,59.1
4658,1048-49,4_2_12,2:2,55.0
466,1048-49,2_4_12,2:2,52.3
4660,1048-49,1_1_4,2:2,56.3
4662,1048-49,2_4_10,First,76.6
4663,1048-49,2_3_9,2:2,56.0
4667,1048-49,1_1_2,2:1,62.5
4669,1048-49,4_2_12,2:1,64.2
4676,1048-49,2_1_1,First,73.7
4677,1048-49,4_2_12,2:1,61.9
4679,1048-49,2_1_1,2:1,62.0
4680,1048-49,2_3_9,2:2,54.5
4690,1048-49,4_2_12,2:1,67.4
4694,1048-49,2_2_4,2:1,62.5
470,1048-49,2_3_8,2:2,55.9
4701,1048-49,1_2_1,2:1,65.3
4703,1048-49,1_1_4,2:1,66.2
4704,1048-49,2_3_7,2:1,65.7
4710,1048-49,2_4_11,2:1,68.0
4711,1048-49,2_2_4,2:2,53.1
4722,1048-49,2_4_12,2:1,65.3
4728,1048-49,2_4_12,2:1,61.3
474,1048-49,4_2_12,First,77.7
4740,1048-49,2_4_12,2:2,57.6
4747,1048-49,2_2_6,2:1,64.3
4749,1048-49,1_1_4,2:1,65.4
475,1048-49,2_2_5,Third,46.0
4752,1048-49,2_2_6,2:2,54.0
4755,1048-49,1_2_1,2:2,52.9
4761,1048-49,1_1_4,2:2,55.2
4767,1048-49,2_3_9,2:2,50.4
4768,1048-49,1_1_1,2:2,58.4
4770,1048-49,2_2_2,2:1,68.7
4771,1048-49,2_4_12,2:1,63.5
478,1048-49,2_2_5,2:1,60.7
4785,1048-49,2_2_2,2:2,58.7
4789,1048-49,2_3_8,2:1,61.2
4792,1048-49,2_2_5,2:2,54.7
4797,1048-49,1_1_5,2:1,63.7
4800,1048-49,2_2_2,2:1,61.9
4804,1048-49,4_2_12,2:2,56.4
4805,1048-49,2_1_1,2:1,64.5
4811,1048-49,2_4_12,2:1,69.8
4818,1048-49,3_2_2,2:2,54.5
4831,1048-49,2_3_8,2:1,66.8
4836,1048-49,2_1_1,Third,48.6
4852,1048-49,1_1_4,2:1,60.9
4857,1048-49,2_3_7,2:2,57.3
4861,1048-49,1_2_1,2:2,54.8
4865,1048-49,2_3_7,2:1,65.4
4868,1048-49,2_2_6,2:2,58.0
4869,1048-49,2_2_4,2:1,67.2
487,1048-49,2_2_3,2:1,69.5
4872,1048-49,2_2_3,2:1,68.5
488,1048-49,2_2_6,2:2,59.0
4885,1048-49,3_2_2,2:1,62.5
4891,1048-49,2_2_6,2:1,61.0
4893,1048-49,2_2_5,2:2,56.2
49,1048-49,2_2_5,2:1,67.1
491,1048-49,2_2_2,First,71.5
4910,1048-49,2_3_7,2:2,59.2
4913,1048-49,1_1_3,2:1,68.2
4914,1048-49,1_2_1,2:2,56.6
4920,1048-49,1_2_1,2:2,59.6
4924,1048-49,4_2_12,2:1,67.8
4927,1048-49,2_2_4,2:1,69.2
4928,1048-49,3_2_2,First,72.9
4944,1048-49,2_4_12,First,72.8
4954,1048-49,2_4_12,2:2,58.7
4955,1048-49,3_2_2,2:2,58.7
4965,1048-49,2_4_12,2:2,54.4
497,1048-49,1_1_5,2:1,66.8
4970,1048-49,1_1_3,2:1,69.5
4971,1048-49,4_2_12,First,78.4
4972,1048-49,4_2_12,2:2,59.5
498,1048-49,1_1_5,2:2,59.6
4988,1048-49,1_2_1,2:2,57.5
499,1048-49,2_2_6,First,70.6
4990,1048-49,1_1_4,First,75.2
4995,1048-49,1_1_1,2:2,58.0
506,1048-49,1_1_3,2:2,58.4
511,1048-49,3_2_2,2:1,68.0
519,1048-49,2_3_8,2:2,55.2
522,1048-49,1_1_5,Third,49.9
525,1048-49,3_2_2,First,70.2
532,1048-49,1_2_1,Third,49.5
540,1048-49,2_1_1,2:1,66.3
55,1048-49,2_4_10,2:2,53.1
553,1048-49,1_1_3,2:1,60.1
554,1048-49,2_3_9,2:2,51.2
555,1048-49,2_3_8,2:2,57.4
560,1048-49,2_1_1,First,75.6
562,1048-49,2_4_12,2:1,62.8
570,1048-49,1_1_1,2:1,69.7
572,1048-49,2_2_3,2:1,66.5
577,1048-49,3_2_2,First,72.4
581,1048-49,3_2_2,2:1,66.3
582,1048-49,2_2_4,2:1,63.2
584,1048-49,4_2_12,2:1,68.1
589,1048-49,2_2_3,2:1,64.5
594,1048-49,2_3_7,2:2,52.8
598,1048-49,3_1_1,2:2,56.8
6,1048-49,2_2_2,First,71.8
606,1048-49,2_3_7,2:2,52.2
611,1048-49,2_2_2,2:1,67.2
612,1048-49,1_1_4,2:1,64.1
613,1048-49,2_2_6,2:1,65.0
635,1048-49,2_2_2,2:1,62.6
638,1048-49,2_3_8,2:2,57.2
64,1048-49,4_2_12,Third,46.2
645,1048-49,1_1_3,2:2,55.7
66,1048-49,2_2_2,2:2,58.2
660,1048-49,2_3_9,2:1,67.5
661,1048-49,4_2_12,2:1,67.6
672,1048-49,2_3_7,2:2,53.2
681,1048-49,1_1_3,2:1,60.4
682,1048-49,2_3_7,2:2,53.5
685,1048-49,2_2_4,2:1,63.2
697,1048-49,2_2_3,2:1,68.6
701,1048-49,2_3_8,2:1,65.1
704,1048-49,1_1_2,2:1,60.2
710,1048-49,2_2_2,2:2,51.2
719,1048-49,2_3_7,2:2,58.2
720,1048-49,1_2_1,2:2,57.3
726,1048-49,2_4_11,2:1,62.0
733,1048-49,2_4_12,2:2,57.6
742,1048-49,1_1_3,2:1,62.8
744,1048-49,1_1_4,2:2,58.1
747,1048-49,2_2_4,2:1,60.3
75,1048-49,2_3_8,Third,46.3
760,1048-49,1_1_2,First,73.2
762,1048-49,1_1_5,2:1,64.9
771,1048-49,2_3_9,2:2,57.7
772,1048-49,2_2_2,2:2,55.5
779,1048-49,2_2_2,2:2,56.2
798,1048-49,2_3_7,2:2,59.8
802,1048-49,3_1_1,2:2,51.0
803,1048-49,2_4_10,First,73.6
807,1048-49,1_1_4,2:2,50.6
813,1048-49,2_4_12,2:2,59.1
820,1048-49,2_2_2,2:2,51.4
821,1048-49,2_3_9,2:2,50.8
832,1048-49,2_2_4,2:2,59.5
847,1048-49,2_3_8,2:1,67.5
85,1048-49,1_1_3,2:1,64.0
850,1048-49,2_4_10,Third,45.5
852,1048-49,2_2_5,2:1,62.6
861,1048-49,2_1_1,2:1,63.3
862,1048-49,2_2_3,2:2,53.9
863,1048-49,2_4_12,2:1,62.1
865,1048-49,2_3_9,2:1,68.8
869,1048-49,2_2_2,2:1,60.1
875,1048-49,2_1_1,2:2,53.6
876,1048-49,1_1_3,First,70.1
877,1048-49,2_4_10,2:2,55.1
881,1048-49,4_2_12,First,87.4
883,1048-49,2_4_10,2:1,60.6
884,1048-49,2_3_9,2:1,64.1
886,1048-49,4_2_12,2:2,58.6
894,1048-49,2_2_6,2:1,66.4
896,1048-49,2_1_1,2:2,59.2
898,1048-49,2_2_3,2:2,50.1
911,1048-49,2_2_4,2:1,63.9
914,1048-49,2_2_2,First,79.4
920,1048-49,2_4_12,2:2,59.7
924,1048-49,1_1_4,First,73.0
932,1048-49,3_1_1,2:1,67.7
938,1048-49,2_2_6,2:1,61.0
942,1048-49,2_4_10,2:2,58.4
949,1048-49,2_4_10,2:1,67.5
951,1048-49,2_3_9,2:1,60.7
956,1048-49,2_1_1,2:1,60.1
959,1048-49,1_1_4,2:1,68.8
962,1048-49,1_1_4,2:2,57.4
966,1048-49,2_2_5,2:2,52.7
968,1048-49,2_1_1,2:1,65.0
972,1048-49,1_1_2,Third,48.2
973,1048-49,2_4_12,2:1,65.5
981,1048-49,2_4_10,2:1,60.5
985,1048-49,2_1_1,2:1,63.5
987,1048-49,2_3_7,First,72.7
989,1048-49,1_2_1,2:1,66.8
993,1048-49,1_1_1,Third,46.3
998,1048-49,3_1_1,Third,47.2
1002,1049-50,1_2_1,2:2,53.1
107,1049-50,2_2_2,2:2,51.8
1118,1049-50,1_2_1,2:2,55.3
1131,1049-50,2_2_6,2:1,62.9
1138,1049-50,2_2_2,Third,48.7
1200,1049-50,2_2_4,2:2,53.1
123,1049-50,2_4_11,2:2,53.5
1230,1049-50,1_2_1,2:2,56.1
1246,1049-50,2_1_1,Third,49.9
125,1049-50,2_2_6,2:2,55.0
1257,1049-50,1_1_2,Third,49.9
1328,1049-50,3_2_2,2:1,67.9
1342,1049-50,1_1_5,Third,48.7
1349,1049-50,2_2_4,2:2,56.7
1388,1049-50,1_1_1,Third,46.7
1428,1049-50,2_1_1,2:2,51.1
1480,1049-50,1_1_4,2:1,61.8
1498,1049-50,2_3_8,2:1,63.8
1500,1049-50,3_2_2,2:2,50.4
1539,1049-50,1_1_5,2:1,67.6
1581,1049-50,1_1_3,2:2,59.2
1596,1049-50,2_4_11,2:2,53.6
161,1049-50,2_3_9,2:2,51.6
1652,1049-50,2_2_3,2:2,51.0
1695,1049-50,1_1_3,2:2,58.4
1725,1049-50,4_2_12,Third,46.0
1746,1049-50,3_2_2,2:2,56.9
1754,1049-50,1_1_4,2:2,58.4
1759,1049-50,2_2_3,Third,46.6
1769,1049-50,2_1_1,2:2,52.7
1773,1049-50,2_4_12,2:2,55.9
1832,1049-50,2_2_2,2:1,64.0
1837,1049-50,2_3_8,2:2,59.2
1842,1049-50,2_2_5,2:2,57.3
1861,1049-50,2_3_7,2:1,60.4
1877,1049-50,2_2_3,2:2,59.6
1929,1049-50,1_1_1,2:2,58.6
1953,1049-50,2_3_8,2:2,54.7
2,1049-50,2_2_4,Third,48.1
2001,1049-50,2_2_3,Third,47.8
2042,1049-50,2_4_10,2:2,57.6
2082,1049-50,2_3_8,2:2,56.7
2089,1049-50,1_1_5,2:2,52.9
209,1049-50,2_4_11,Third,44.8
2090,1049-50,2_3_9,2:2,50.8
2097,1049-50,2_4_12,2:2,53.8
2101,1049-50,1_1_3,Third,44.8
2115,1049-50,4_2_12,2:1,63.7
2165,1049-50,2_3_9,2:1,60.4
2205,1049-50,1_1_5,Third,47.2
2225,1049-50,2_4_12,2:2,53.0
2245,1049-50,2_4_10,2:1,65.3
2254,1049-50,2_1_1,2:2,57.9
2272,1049-50,2_4_11,Third,44.4
2303,1049-50,2_2_5,2:2,51.3
2332,1049-50,2_2_6,Third,49.0
2336,1049-50,3_1_1,Third,47.4
2343,1049-50,2_4_11,2:2,56.2
236,1049-50,1_2_1,2:2,54.6
2402,1049-50,4_2_12,2:1,65.0
2506,1049-50,2_2_5,2:2,55.4
255,1049-50,2_2_5,2:2,50.8
2583,1049-50,2_2_2,2:2,56.8
2597,1049-50,2_4_10,2:1,64.8
2605,1049-50,1_1_5,2:1,65.5
2608,1049-50,2_2_6,Third,49.8
2622,1049-50,2_4_12,Third,46.4
2630,1049-50,1_2_1,2:2,50.7
2638,1049-50,1_1_1,2:2,55.2
2648,1049-50,1_1_4,Third,44.7
2657,1049-50,1_1_4,Third,49.5
2671,1049-50,2_2_5,2:2,53.4
2692,1049-50,1_1_3,2:1,60.5
2804,1049-50,2_3_8,2:2,51.1
2806,1049-50,2_4_10,Third,49.3
281,1049-50,1_1_5,Third,49.5
2820,1049-50,1_1_3,2:2,51.1
2869,1049-50,2_4_11,Third,47.3
2871,1049-50,2_3_7,2:2,52.0
2872,1049-50,2_3_8,2:2,59.5
2891,1049-50,2_2_5,2:2,51.6
2909,1049-50,2_3_7,2:2,56.9
2928,1049-50,1_1_1,Third,44.1
295,1049-50,2_2_5,2:1,62.1
2957,1049-50,3_2_2,2:2,59.8
3019,1049-50,4_2_12,2:2,53.5
3053,1049-50,2_3_8,2:1,64.6
3065,1049-50,4_2_12,Third,45.0
3074,1049-50,1_2_1,2:2,54.4
3139,1049-50,2_2_2,2:1,63.3
3141,1049-50,1_1_4,Third,49.6
3149,1049-50,1_2_1,Third,48.2
3195,1049-50,2_1_1,2:1,61.8
3204,1049-50,2_2_6,2:2,55.9
3239,1049-50,2_3_9,2:2,53.0
3259,1049-50,1_2_1,Third,48.0
3262,1049-50,2_4_10,2:2,53.5
3263,1049-50,2_2_2,Third,44.7
3343,1049-50,1_1_5,Third,48.0
3393,1049-50,1_1_2,2:2,56.5
3492,1049-50,2_2_2,2:1,60.2
3631,1049-50,2_2_6,2:2,53.9
3676,1049-50,2_4_10,2:2,51.2
3715,1049-50,2_4_12,2:2,59.7
3740,1049-50,2_2_2,2:2,51.1
3743,1049-50,1_1_2,2:2,59.8
3756,1049-50,2_1_1,2:2,51.5
3764,1049-50,3_2_2,2:2,51.8
3823,1049-50,2_2_2,2:1,60.5
3850,1049-50,2_2_6,2:2,52.3
3865,1049-50,3_1_1,2:1,60.2
3873,1049-50,2_2_3,2:1,61.5
3912,1049-50,2_2_6,Third,47.1
397,1049-50,2_3_8,2:2,50.6
3998,1049-50,1_2_1,2:2,56.6
4015,1049-50,2_2_5,2:2,53.3
4019,1049-50,2_2_4,2:2,53.8
4034,1049-50,1_1_4,2:1,69.7
4066,1049-50,1_2_1,2:2,53.3
4101,1049-50,2_2_2,2:2,53.4
4115,1049-50,2_2_3,2:1,64.7
4182,1049-50,2_2_3,First,74.5
4191,1049-50,1_1_2,2:2,51.3
421,1049-50,1_1_1,Third,45.6
4211,1049-50,2_1_1,2:2,55.9
4214,1049-50,2_2_3,Third,49.7
4230,1049-50,2_2_5,2:2,57.0
4248,1049-50,4_2_12,2:1,66.8
4256,1049-50,2_4_12,2:2,50.7
4300,1049-50,2_2_2,2:2,54.4
4304,1049-50,2_3_7,2:2,51.0
4353,1049-50,4_2_12,2:2,59.6
4363,1049-50,2_1_1,2:2,51.1
4388,1049-50,1_2_1,2:2,50.0
4400,1049-50,1_1_4,2:1,62.0
4494,1049-50,2_2_6,Third,47.8
4537,1049-50,2_4_12,Third,49.9
4550,1049-50,2_2_5,Third,48.0
4553,1049-50,1_1_2,2:2,57.4
456,1049-50,1_2_1,2:2,52.8
4585,1049-50,2_3_7,2:2,51.4
4628,1049-50,1_1_5,2:1,66.5
4657,1049-50,2_4_10,Third,48.4
4661,1049-50,2_2_3,2:2,54.9
4685,1049-50,2_1_1,2:2,56.0
4757,1049-50,4_2_12,First,75.2
4773,1049-50,4_2_12,2:1,61.2
4779,1049-50,2_3_8,2:2,50.3
4788,1049-50,2_2_4,2:2,58.6
4796,1049-50,1_1_3,Third,49.9
48,1049-50,2_4_10,2:1,65.0
483,1049-50,1_1_3,Third,47.7
4846,1049-50,2_3_8,2:2,57.7
4951,1049-50,1_1_3,2:1,60.7
4996,1049-50,2_2_4,Third,48.3
5000,1049-50,1_1_2,First,71.9
5005,1049-50,2_4_12,2:2,59.2
5007,1049-50,2_4_12,2:1,63.2
5008,1049-50,2_2_4,2:2,51.5
5012,1049-50,1_1_1,2:2,55.4
5014,1049-50,1_1_3,2:2,58.5
5015,1049-50,3_1_1,2:2,52.4
5022,1049-50,2_4_12,2:1,61.6
5027,1049-50,2_4_12,Third,48.4
5044,1049-50,2_3_9,2:2,55.4
5051,1049-50,2_3_9,2:2,57.4
5052,1049-50,1_2_1,2:1,68.9
5059,1049-50,2_3_7,2:2,53.0
5062,1049-50,2_2_3,2:2,58.7
5069,1049-50,2_3_7,2:1,63.8
5074,1049-50,2_2_2,2:1,66.6
5079,1049-50,1_2_1,2:2,59.2
5080,1049-50,2_3_8,2:1,65.2
5089,1049-50,1_1_4,2:1,61.2
5097,1049-50,2_3_8,2:2,52.0
5100,1049-50,2_2_5,2:1,63.2
5103,1049-50,1_1_4,2:2,56.7
5104,1049-50,2_2_2,2:1,60.5
5113,1049-50,2_2_5,2:2,53.7
5116,1049-50,2_2_3,2:2,58.0
5117,1049-50,2_2_3,2:1,69.0
5119,1049-50,1_1_2,2:1,61.9
5122,1049-50,2_3_7,Third,48.9
5129,1049-50,2_2_4,2:2,58.0
5130,1049-50,2_3_9,2:1,62.8
5131,1049-50,3_1_1,First,77.4
5135,1049-50,4_2_12,2:1,62.1
514,1049-50,2_3_8,2:1,62.3
5143,1049-50,2_3_7,2:2,51.0
5145,1049-50,2_3_9,2:1,67.6
5150,1049-50,2_4_10,Third,47.1
5152,1049-50,1_1_2,Third,49.7
5153,1049-50,1_1_5,First,71.6
5157,1049-50,2_3_7,2:1,60.2
5159,1049-50,1_1_5,2:1,69.0
5165,1049-50,2_2_2,2:2,53.1
5169,1049-50,2_3_9,2:1,62.5
5171,1049-50,1_1_2,2:2,54.2
5181,1049-50,2_3_8,2:2,55.3
5182,1049-50,2_2_5,2:2,59.9
520,1049-50,2_4_12,2:2,55.5
5204,1049-50,1_1_3,2:1,64.1
5207,1049-50,1_1_1,2:1,66.8
5212,1049-50,2_2_5,2:2,52.6
5220,1049-50,1_1_2,2:1,61.6
5223,1049-50,1_1_4,2:2,53.7
5224,1049-50,2_3_7,2:1,67.8
5229,1049-50,3_1_1,Third,49.2
5232,1049-50,2_2_5,2:1,64.0
5237,1049-50,1_1_3,2:1,60.5
5245,1049-50,2_2_4,2:1,60.1
5246,1049-50,3_2_2,2:1,67.9
5262,1049-50,2_3_9,2:1,62.4
5268,1049-50,2_4_12,2:2,52.1
5271,1049-50,1_1_2,2:1,65.4
5272,1049-50,4_2_12,Third,48.3
5280,1049-50,1_1_4,2:1,65.7
5289,1049-50,1_1_3,2:1,69.7
5295,1049-50,1_1_2,2:1,66.3
5298,1049-50,2_2_4,2:2,58.5
5299,1049-50,1_1_5,2:2,58.2
5302,1049-50,2_3_8,Third,42.9
5305,1049-50,2_2_6,2:1,62.6
5312,1049-50,1_1_2,2:2,56.8
5315,1049-50,1_1_3,2:1,69.1
5332,1049-50,4_2_12,2:2,58.6
5333,1049-50,2_2_3,First,71.0
5334,1049-50,2_2_2,Third,48.5
5336,1049-50,4_2_12,2:1,65.5
5339,1049-50,2_2_5,2:2,57.6
5340,1049-50,2_2_4,2:1,61.1
5343,1049-50,2_2_3,First,71.9
5344,1049-50,2_1_1,2:1,68.6
5355,1049-50,2_1_1,Third,49.8
5370,1049-50,2_4_12,2:2,55.1
5371,1049-50,2_2_3,2:1,61.8
5385,1049-50,2_2_5,2:2,55.0
5387,1049-50,2_2_4,2:1,66.4
5399,1049-50,1_1_2,2:1,60.8
5400,1049-50,2_3_7,First,70.0
5415,1049-50,2_4_12,2:2,58.5
5418,1049-50,2_4_10,2:2,50.4
5423,1049-50,2_4_12,2:1,60.0
5434,1049-50,2_2_4,2:2,56.6
5439,1049-50,1_2_1,2:1,60.4
5447,1049-50,1_1_2,2:2,57.7
5448,1049-50,2_1_1,2:1,65.1
5457,1049-50,1_2_1,2:2,54.2
5485,1049-50,2_3_8,2:2,55.3
5491,1049-50,1_1_5,2:1,61.2
5494,1049-50,2_4_11,2:1,62.8
5502,1049-50,4_2_12,First,80.3
5504,1049-50,1_1_2,2:1,69.4
5506,1049-50,4_2_12,First,70.1
5509,1049-50,1_1_5,2:1,60.5
5513,1049-50,2_3_7,2:2,55.7
5515,1049-50,2_2_2,2:2,55.6
5519,1049-50,1_1_4,2:1,62.2
552,1049-50,1_1_4,2:1,63.4
5522,1049-50,2_2_4,2:2,57.3
5523,1049-50,4_2_12,2:2,55.6
5524,1049-50,1_1_2,2:1,63.4
5526,1049-50,2_4_12,2:1,61.8
5531,1049-50,1_1_4,2:2,57.0
5536,1049-50,2_2_2,2:2,53.6
5548,1049-50,2_4_10,2:2,54.4
5551,1049-50,3_2_2,2:2,52.9
5555,1049-50,1_1_4,2:2,59.4
5563,1049-50,1_1_3,2:1,63.4
5568,1049-50,2_4_10,2:1,64.5
5571,1049-50,2_4_10,First,72.9
5572,1049-50,2_3_7,2:2,59.2
5573,1049-50,1_1_4,2:1,64.5
